epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6765.54,2.60206,6.67065,2.21515,0.20144,0.17998,0.12247,0.0367,1.63538,10.5268,1.4664,0.00333171,0.00333171,0.00333171
2,13594.7,2.36078,2.72102,1.94971,0.18968,0.19033,0.13772,0.03961,1.72352,7.9338,1.47881,0.00633512,0.00633512,0.00633512
3,20433.7,2.35054,2.63424,1.94807,0.10285,0.12735,0.0396,0.00872,2.00777,9.35516,1.73881,0.00900854,0.00900854,0.00900854
4,27271.1,2.32293,2.51824,1.94314,0.19799,0.10597,0.0995,0.02892,1.79998,3.83976,1.55333,0.008515,0.008515,0.008515
5,34119.4,2.262,2.35888,1.90358,0.05488,0.32963,0.09337,0.02879,1.79715,5.38729,1.5737,0.00802,0.00802,0.00802
6,40976.7,2.20809,2.27156,1.86271,0.4018,0.07026,0.08109,0.02145,1.8932,7.67118,1.69304,0.007525,0.007525,0.007525
7,47829.5,2.16644,2.18938,1.84306,0.32042,0.11236,0.1307,0.03945,1.81212,4.8539,1.65222,0.00703,0.00703,0.00703
8,54707.7,2.13422,2.18304,1.80766,0.29931,0.10559,0.123,0.03728,1.79912,4.28194,1.58325,0.006535,0.006535,0.006535
9,61580.7,2.11203,2.10629,1.80009,0.25799,0.10091,0.11895,0.03854,1.69819,5.12613,1.54384,0.00604,0.00604,0.00604
10,68437.8,2.09268,2.03619,1.7828,0.35748,0.09888,0.13765,0.04412,1.72163,6.43875,1.56597,0.005545,0.005545,0.005545
11,75240.2,2.05879,1.9922,1.75981,0.35977,0.09918,0.13944,0.04494,1.77661,5.3086,1.57505,0.00505,0.00505,0.00505
12,82014.7,2.01084,1.87867,1.72331,0.36989,0.09614,0.13918,0.04614,1.79099,5.30586,1.59253,0.004555,0.004555,0.004555
13,88808.3,2.01267,1.85508,1.72528,0.33865,0.08778,0.10896,0.03383,1.831,8.69709,1.64722,0.00406,0.00406,0.00406
14,95634.6,1.98969,1.80247,1.7084,0.34913,0.09007,0.1157,0.036,1.83749,5.50005,1.6525,0.003565,0.003565,0.003565
15,102473,1.94813,1.75499,1.6781,0.36894,0.07497,0.09186,0.0296,1.8682,6.71858,1.67168,0.00307,0.00307,0.00307
16,109323,1.91115,1.69279,1.64707,0.34853,0.0795,0.09735,0.03051,1.8857,6.90402,1.68929,0.002575,0.002575,0.002575
17,116178,1.87606,1.61848,1.62587,0.37286,0.07578,0.08756,0.02715,1.91022,7.77309,1.72611,0.00208,0.00208,0.00208
18,123024,1.82999,1.52242,1.59079,0.32484,0.08018,0.08662,0.02613,1.96427,6.68088,1.79393,0.001585,0.001585,0.001585
19,129863,1.78412,1.44707,1.57066,0.35333,0.08119,0.08938,0.02696,1.99082,6.43102,1.82865,0.00109,0.00109,0.00109
20,136688,1.73826,1.38217,1.53291,0.34073,0.07832,0.0836,0.02538,2.0142,6.77312,1.8642,0.000595,0.000595,0.000595
