epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2668.93,2.31114,3.19652,1.9877,0.29662,0.29621,0.1967,0.05844,1.59676,2.99415,1.43375,0.00333252,0.00333252,0.00333252
2,5288.86,2.14342,2.21623,1.91008,0.29949,0.31061,0.20767,0.06086,1.6923,2.85963,1.49463,0.00633589,0.00633589,0.00633589
3,7883.15,2.14502,2.18673,1.95104,0.30084,0.29713,0.21156,0.06544,1.70249,3.41966,1.54077,0.00900926,0.00900926,0.00900926
4,10465.5,2.11662,2.10717,1.9706,0.29191,0.28352,0.18115,0.05804,1.78647,3.37488,1.59942,0.008515,0.008515,0.008515
5,13039.1,2.05343,1.98658,1.92974,0.3265,0.30198,0.21714,0.07106,1.75591,2.7374,1.58862,0.00802,0.00802,0.00802
6,15604.5,2.01559,1.92303,1.89786,0.3537,0.32395,0.25165,0.08479,1.69895,2.46434,1.55846,0.007525,0.007525,0.007525
7,18170.9,1.9933,1.86714,1.87664,0.3506,0.30661,0.24185,0.08058,1.75678,2.58783,1.589,0.00703,0.00703,0.00703
8,20748.6,1.96587,1.83263,1.85399,0.35513,0.30857,0.24608,0.08232,1.73846,2.51817,1.57838,0.006535,0.006535,0.006535
9,23313.9,1.94359,1.78308,1.8362,0.35799,0.30655,0.24661,0.08245,1.74534,2.51542,1.58269,0.00604,0.00604,0.00604
10,25887.3,1.91886,1.73957,1.81485,0.35481,0.31107,0.24309,0.08103,1.74442,2.53054,1.58183,0.005545,0.005545,0.005545
11,28449.5,1.90029,1.68959,1.79959,0.35292,0.31819,0.24426,0.08122,1.7412,2.55764,1.57916,0.00505,0.00505,0.00505
12,31024,1.84796,1.60325,1.76507,0.34916,0.32172,0.24332,0.08049,1.7394,2.5922,1.57852,0.004555,0.004555,0.004555
13,33597.6,1.8391,1.59358,1.75474,0.34743,0.32356,0.24105,0.0799,1.73802,2.62233,1.57763,0.00406,0.00406,0.00406
14,36170.7,1.80684,1.52806,1.72466,0.34731,0.32724,0.2426,0.08039,1.73775,2.62862,1.57784,0.003565,0.003565,0.003565
15,38746.7,1.76158,1.4587,1.69446,0.34782,0.32159,0.2418,0.08053,1.73855,2.61857,1.5786,0.00307,0.00307,0.00307
16,41319.2,1.71562,1.3795,1.66255,0.34846,0.31902,0.24138,0.08079,1.74578,2.62595,1.58511,0.002575,0.002575,0.002575
17,43889.8,1.65908,1.2959,1.62012,0.34751,0.31488,0.24194,0.08178,1.74851,2.61373,1.58941,0.00208,0.00208,0.00208
18,46467.5,1.58674,1.19357,1.568,0.3485,0.31324,0.24399,0.0827,1.7553,2.6246,1.59771,0.001585,0.001585,0.001585
19,49043,1.50267,1.10179,1.51354,0.35261,0.30891,0.24636,0.08338,1.76285,2.64141,1.60793,0.00109,0.00109,0.00109
20,51625,1.41985,1.0103,1.45561,0.35604,0.30476,0.2459,0.0832,1.77681,2.71048,1.62412,0.000595,0.000595,0.000595
